Details,Distribution,Unnamed: 2,HUL WH Dist Recovery,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Atta,Salt,Atta,Salt,,,,
2023-03-01 00:00:00,879370.5254559321,6586454.661863515,1157676.228514857,2178044.736,,,,
2023-04-01 00:00:00,2185638.9323354997,17244845.436248496,2887348.2,0,,,,
2023-05-01 00:00:00,2392239.166488061,18360280.530927468,3092059.1999999997,0,,,,
,5457248.6242794935,42191580.62903948,7137083.628514856,2178044.736,,,,
,,,,,,,,
Actuals,,,,,,,,
,March and Apr,,,,,,,
,,2059200,March,RR,,,,
,,1544400,April,RR,,,,
,,1065725,April,RR,,,,
,,632902,April,RR,,,,
,,546013,April,RR,,,,
,,1670715,April,Western,,,,
,,997631,March,Western,,,,
,,374713,March,Western,,,,
,,4582877,March,Western,,,,
,,653054,April,Western,,,,
,,1437297,May,Western,,,,
,,5374924,May,Western,,,,
,,,,,,,,
Mar to May,432670,31283038,,,,,,
Prov to be reversed,432670,31283038,,,,,,
Less: Already reversed in May 23,432670,20939451,,,,,,
To be reversed in Jun 23,0,10343587,,,,,,
,,,,,,,,
Jun,0,13326474,,,,,,
,,,,,,,,
Qty in Tons,866.67,5842.638,,,,,,
,Atta,Salt,,,,,,
GSV,44648609,65024463,,,,,,
Less: Trade Promotion - (Salt 16.9%; Atta 6.9%) of GSV,3080754.021,10989134.247,,,,,,
NR,41567854.979,54035328.753,,,,,,
,,,,,,,,
Cross Charge:,,,,,,,,
WH Distribution Recovery (Salt - 1680 per ton; Atta - 3620 per ton),3137345.4,0,,,,,,
Distribution Exp,2411963.2396965004,18058606.8692526,,,,,,
Total - Salt - 33.42%; Atta - 13.35% of NR,5549308.6396965,18058606.8692526,,,,,,
,,,,,,,,
Provision to be created:,,,,,,,,
WH Distribution Recovery (Salt - 1680 per ton; Atta - 3620 per ton),3137345.4,0,,,,,,
Distribution Exp,2411963.2396965004,4732132.8692526,,,,,,
Total - Salt - 33.42%; Atta - 13.35% of NR,5549308.6396965,4732132.8692526,,,,,,
,,,,,,,,
HUL IT Recovery - 1.75% of GSV,781350.6575000001,1137928.1025,1919278.7600000002,,,,,
HUL - IT Development Cross Charge,,,200000,,,,,
HUL FTE Cross Charges,,,1200000,,YTD May 23 Actual,,,
,,,,,Annapurna,,Captain Cook,Total
,,,,,Atta,Salt,Salt,
,,,,,,,,
,,,,Qty,1971.570063125651,11981.693500000001,2948.85,16902.11356312565
,,,,GSV,101331437.34,125095535.09,34668229,261095201.43
,,,,,,,,
,,,,,101331437.34,125095535.09,34668229,261095201.43
