Unnamed: 0,UMA CONSUMER PRODUCTS PRIVATE LIMITED,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,STATEMENT OF PROFIT AND LOSS ACCOUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,225699556.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Particulars,May 23 Actual,,,,,,May 23 Budget,,,,,,YTD Apr 23 Actual,,,,,YTD May 23 Actual,,,,,,YTD May 23 Budget,,,,,Apr 23 Actual,,,,,
,,Annapurna,,Captain Cook,Total,,,Annapurna,,Captain Cook,Total,,,Annapurna,,Captain Cook,,,Annapurna,,Captain Cook,Total,,,Annapurna,,Captain Cook,Total,,Annapurna,,Captain Cook,Total,,
,,Atta,Salt,Salt,,,,Atta,Salt,Salt,,,,Atta,Salt,Salt,Total,,Atta,Salt,Salt,,,,Atta, Salt, Salt,,,Atta, Salt, Salt,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty (Tonnes),854.16,4526.703,1348.775,6729.638000000001,354.22830066232734,,1164.319885121497,7150.671577448068,994.5466993376727,9309.538161907238,-2623.9685774480677,,1117.410063125651,7454.9905,1600.0749999999998,10172.475563125652,,1971.570063125651,11981.693500000001,2948.85,16902.11356312565,,,2530.430927289401,14832.535191651834,2537.8163911457186,19900.782510086956,,797.61,4725.0025,1088.925,6611.537499999999,,
,Sales,44125549.56,49751299.84,16359413.5,110236262.9,4651055.404462986,,59647109.72262039,75742802.82133004,11708358.095537014,147098270.63948745,-2.638356327757684,,57205887.779999994,75344235.25,18308815.5,150858938.53,,101331437.34,125095535.09,34668229,261095201.43,,,129648412.28600144,158356668.12610984,30075596.894894034,318080677.3070053,,40816223.129999995,50003742.75000001,12090569.5,102910535.38,,47948403.150000006
,,,,,,0.4651055404462986,,,,,,-1.7936011866678172e-08,,,,,,,,,,,,,,,,,,,,,,,
,Total Revenue ,44125549.56,49751299.84,16359413.5,110236262.9,,,59647109.72262039,75742802.82133004,11708358.095537014,147098270.63948745,,,57205887.779999994,75344235.25,18308815.5,150858938.53,,101331437.34,125095535.09,34668229,261095201.43,,,129648412.28600144,158356668.12610984,30075596.894894034,318080677.3070053,,40816223.129999995,50003742.75000001,12090569.5,102910535.38,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direct Expenses:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cross Charge from HUL:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Trade Promotions (6.9%-Atta, 16.9%-Salt)",3044662.9196400004,8407969.67296,2764740.8814999997,14217373.474100001,27527631.640320003,,4115650.5708608073,12800533.676804775,1978712.5181457552,18894896.76581134,,,3947206.25682,12733175.75725,3094189.8194999993,19774571.83357,,6991869.17646,21141145.43021,5858930.700999999,33991945.30767,31600000.0,,8945740.4477341,26762276.913312554,5082775.8752370905,40790793.23628375,,2816319.39597,8450632.52475,2043306.2454999997,13310258.16622,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net revenue,41080886.640360005,41343330.167040005,13594672.6185,96018889.42590001,,,55531459.15175958,62942269.14452527,9729645.57739126,128203373.87367612,,,53258681.52317999,62611059.492750004,15214625.6805,131084366.69643,,94339568.16354,103954389.65979001,28809298.299000002,227103256.12233,,,120702671.83826734,131594391.21279728,24992821.01965694,277289884.07072157,,37999903.73402999,41553110.225250006,10047263.2545,89600277.21378,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Purchases:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Purchases,31734342,23279161.53,5606032,60619535.53,28885193.53,,44147812.33488463,38791728.121783845,4585794.1860367665,87525334.64270523,,,41412732,36452144.02268,7031532.017,84896408.03968,,73147074,59731305.55268,12637564.017,145515943.56968,,,95740209.97234324,79010072.59811121,11817700.388397843,186567982.9588523,,29564382,24439312,4555159,58558853,,
,Total Purchases,,,,,2.888519353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS Breakup:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Conversion Charges,1879152,5997763.53,1385762,9262677.530000001,,,2585954.464854845,7324118.339817881,740718.4907327119,10650791.295405438,,,2458301.9402020713,9268730.24552,1717557.797,13444589.982722072,,4337453.940202071,15266493.77552,3103319.7970000003,22707267.512722075,,,5613371.08950976,15980350.649998844,2102681.8917975086,23696403.63130611,,1754742,6226872.25,1124296.5,9105910.75,,
,Packing Material,1514418,6817105.62,1814480.5000000002,10146004.120000001,,,2180038.157643439,17344820.62439587,2496113.305997691,22020972.088037,,,1925406.306391786,10452205.43316,2716095.27,15093707.009551786,,3439824.306391786,17269311.05316,4530575.7700000005,25239711.129551787,,,4682889.563044641,32253465.792870358,6324056.578497525,43260411.934412524,,1377216,6952628.25,1478566,9808410.25,,
,Raw Material,28853268,10464293.31,2405789.5,41723350.81,,,38194698.807491116,13470366.172651239,1256112.4812634806,52921177.461405836,,,37699470.210792795,16731208.344,2597878.95,57028557.504792795,,66552738.210792795,27195501.654,5003668.45,98751908.3147928,,,83306678.2680797,29471410.185404297,3205262.102017043,115983350.55550104,,26910990,11259811.5,1952296.5,40123098,,
,Scrap Recovery,-512496,0,0,-512496,,,-719440.8368560764,0,0,-719440.8368560764,,,-670446.3809253398,0,0,-670446.3809253398,,-1182942.3809253396,0,0,-1182942.3809253396,,,-1557843.5257142116,0,0,-1557843.5257142116,,-478566,0,0,-478566,,
,Storage and Interest Cost,0,0,0,0,,,1906561.7417513053,652422.9849188578,92849.90804288237,2651834.634713046,,,0,0,0,0,,0,0,0,0,,,3695114.5774233667,1304845.9698377156,185699.81608576473,5185660.363346848,,0,0,0,0,,
,Total cost ,31734342,23279162.46,5606032,60619536.46000001,,,44147812.33488463,38791728.121783845,4585794.1860367665,87525334.64270523,,,41412732.07646131,36452144.02268,7031532.017,84896408.1161413,,73147074.07646132,59731306.48268,12637564.017,145515944.57614133,,,95740209.97234324,79010072.59811121,11817700.388397843,186567982.95885232,,29564382,24439312,4555159,58558853,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total COGS,31734342,23279161.53,5606032,60619535.53,,,44147812.33488463,38791728.121783845,4585794.1860367665,87525334.64270523,,,41412732.07646131,36452144.02268,7031532.017,84896408.1161413,,73147074.07646132,59731306.48268,12637564.017,145515944.57614133,,,95740209.97234324,79010072.59811121,11817700.388397843,186567982.95885232,,29564382,24439312,4555159,58558853,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,9346544.640360005,18064168.637040004,7988640.6185,35399353.89590001,,,11383646.816874951,24150541.022741422,5143851.391354493,40678039.23097089,,,11845949.523179993,26158915.470070004,8183093.663500001,46187958.65674999,,21192494.163540006,44223084.10711001,16171734.282000002,81587312.55265,,,24962461.865924105,52584318.61468607,13175120.631259099,90721901.11186928,,8435521.734029993,17113798.225250006,5492104.2545,31041424.21378,,
,Gross Profit (%) of Net revenue,0.22751565033597576,0.43693066243224976,0.5876302315385543,0.36867072830725156,,,0.20499455607253292,0.38369352346176167,0.5286781877550855,0.3172930477715242,,,,,,,,0.22464056785592112,0.4254085301432507,0.5613373194362508,0.35925205981504155,,,0.2068095219911284,0.39959391984764436,0.5271562030111295,0.3271734972081818,,0.2219879764188914,0.4118536045191318,0.546626888873463,0.34644339480911795,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUL-Warehouse distr recovery,3092059.1999999997,0,0,3092059.1999999997,0.30920591999999997,,4214837.98413982,3648143.960972728,652036.6831118483,8515018.628224395,,,4045024.428514857,1834551.936,343492.8,6223069.164514856,,7137083.628514856,1834551.936,343492.8,9315128.364514858,31300000.0,,9160159.95678763,7700262.792934412,1682554.5809845242,18542977.330706567,,2887348.2,0,0,2887348.2,,
,Distribution expenses,2392239.166488061,13816940.941824768,4543339.589102699,20752519.697415527,2.0752519697415526,,3643056.2570645288,18498273.498238727,2599610.8688523103,24740940.624155566,,,3065009.554829672,19090064.14647705,4741235.1024231,26896308.803729825,,5457248.721317733,32907005.08830182,9284574.691525798,47648828.50114535,,,7842535.622509947,38500804.97260466,6670046.203784825,53013386.798899435,,2185638.948493004,13887049.437278552,3357795.3796539,19430483.765425455,,
,Total,5484298.366488061,13816940.941824768,4543339.589102699,23844578.89741553,,,7857894.241204348,22146417.459211454,3251647.5519641587,33255959.25237996,,,7110033.983344529,20924616.08247705,5084727.9024231,33119377.96824468,,12594332.349832589,34741557.02430182,9628067.491525799,56963956.865660205,,,17002695.57929758,46201067.76553907,8352600.78476935,71556364.12960601,,5072987.148493004,13887049.437278552,3357795.3796539,22317831.965425458,31525613.537545457,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contribution margin,3862246.2738719443,4247227.695215236,3445301.0293973004,11554774.998484481,,,3525752.5756706027,2004123.5635299683,1892203.8393903342,7422079.978590906,,,4735915.539835464,5234299.387592953,3098365.761076901,13068580.688505318,,8598161.813707417,9481527.08280819,6543666.7904742025,24623355.68698981,,,7959766.286626525,6383250.849146999,4822519.846489749,19165536.982263274,,3362534.5855369894,3226748.7879714537,2134308.8748461,8723592.248354543,,
,Contribution margin (%) of Net Revenue,0.09401565033597577,0.10273066243224979,0.2534302315385544,0.12033856116823312,,,0.06349108468472299,0.031840662733785274,0.19447818775508546,0.05789301602861229,,,0.088922883638684,0.08360023660355172,0.20364390331652768,0.0996959516825528,,0.09114056785592116,0.09120853014325073,0.22713731943625087,0.1084236135906671,,,0.06594523688168248,0.0485070130293383,0.19295620301112948,0.06911733201697033,,0.0884879764188914,0.07765360451913175,0.21242688887346303,0.0973612194027108,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FD Interest,,,,0,,,,,,0,,,,,,159041,,,,,159041,,,,,,0,,,,,159041,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indirect Expenses:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Travel & Conveyance,0,0,0,179782.05,0.017978204999999997,,0,0,0,500000,,,0,0,0,1180045.59,,,,,1359827.6400000001,,,0,0,0,1430611,,0,0,0,749434.64,,
,Legal and Professional Expenses,0,0,0,1160000,0.116,,0,0,0,1060000,,,0,0,0,2439610,,,,,3599610,,,0,0,0,1921180.47,,0,0,0,1888430,,
,License Fee for MS Dynamics,0,0,0,60450,0.006045,,0,0,0,250000,,,0,0,0,90260.95999999999,,,,,150710.96,,,0,0,0,529810.96,,0,0,0,60450,,
,Salary,0,0,0,2458330,0.245833,,0,0,0,2748666.6666666665,,,0,0,0,7385556.67,,,,,9843886.67,,,0,0,0,7219833.666666666,,0,0,0,5718890,,
,Rent,0,0,0,20000,0.002,,0,0,0,0,,,0,0,0,0,,,,,20000,,,0,0,0,0,,0,0,0,0,,
,Business Promotion Expenses,0,0,0,0,,,0,0,0,100000,,,0,0,0,2155,,,,,2155,,,0,0,0,200000,,0,0,0,2155,,
,Office Expenses,0,0,0,0,,,0,0,0,70000,,,0,0,0,1250,,,,,1250,,,0,0,0,140000,,0,0,0,1250,,
,Audit Fees,0,0,0,0,,,0,0,0,0,,,0,0,0,150000,,,,,150000,,,0,0,0,0,,0,0,0,150000,,
,HUL - IT Development Cross Charge,0,0,0,200000,,,0,0,0,200000,,,0,0,0,200000,,,,,400000,,,0,0,0,400000,,0,0,0,200000,,
,HUL FTE Cross Charges,0,0,0,1200000,,,0,0,0,1200000,,,0,0,0,1200000,,,,,2400000,1700000.0,,0,0,0,2400000,,0,0,0,1200000,,
,HUL-IT expenses-RT Tools-1.75% of GSV,0,0,0,1929134.6007500002,0.19291346007500002,,0,0,0,2574219.7361910306,,,0,0,0,2640031.4058999997,,,,,4569166.00665,3970000.0,,0,0,0,5566411.852872594,,0,0,0,1800934.4059,,
,Total Expenses,0,0,0,7207696.65075,,,0,0,0,8702886.402857697,,,0,0,0,15288909.625899998,,,,,22496606.27665,,,,,,19807847.94953926,,,,,11771544.0459,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EBITDA,,,,4347078.347734481,,,,,,-1280806.424266791,,,,,,-2061287.9373946805,,,,,2285790.41033981,,,,,,-642310.9672759846,,,,,-2888910.7975454573,,
,EBIDTA (%) of Total Sales,,,,0.03943419554850023,,,,,,-0.008707148076579548,,,,,,-0.013663677853498684,,,,,0.008754624358550817,,,,,,-0.0020193334996455588,,,,,-0.028072060716408425,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest,,,,0,,,,,,439664.3184831852,,,0,0,0,0,,,,,0,,,0,0,0,753739.2300607979,,0,0,0,0,,
,Amortization of Preliminary Expenses (1/5th) for 1 month,,,,8509.35,0.000850935,,,,,70532.55,,,0,0,0,79041.90000000001,,,,,87551.25000000001,,,0,0,0,211597.65000000002,,0,0,0,8509.35,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Write Back of HUL Cross Charge,,,,0,,,,,,0,,,0,0,0,7303411,,,,,7303411,,,0,0,0,0,,0,0,0,7303411,,
,Write Back of Preliminary Expenses,,,,0,,,,,,0,,,0,0,0,70533,,,,,70533,,,0,0,0,0,,0,0,0,70533,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit Before Tax,,,,4338568.9977344815,,,,,,-1791003.2927499763,,,,,,5233614.162605319,,,,,9572183.16033981,,,,,,-1607647.8473367826,,,,,4476523.852454543,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Professional Charges:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFO Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bar Code Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F2F Corporate Consultants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shilputsi Consultants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legal Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vijay Sachdev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note on TSA:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Trade Promotions (6.9%-Atta, 16.9%-Salt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUL-Warehouse distr recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUL - IT Development Cross Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUL FTE Cross Charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUL-IT expenses-RT Tools-1.75% of GSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar Reversal for Cross Charge:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trade Promotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUL-IT expenses-RT Tools-1.75% of GSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
